Filename,Sanat
meksikon_pikapano,"Illan tullen nolottaa,
panopäätä kolottaa,
Pikku-Pete tahtoo päästä sänkyyn painimaan
vaikka paljon masturboi
puutteeseensa kuolla voi
kruisaillessaan päässyt on jo lemmentunnelmaan
Nurkan täyttää iso mies
seuraa vailla kukaties
Pikku-Pete iskee silmää aivan otsa hies!
Äijä iskee takaisin ja Pete jännittyy
tästä illan juttu kehkeytyy...

Esittäytyy kumpikin
Iso-Pat on tietenkin
äijä jonka nurkasta vei Pete mukanaan
""Minä tykkään alistaa"",
Peteä hän valistaa,
kantaessaan kumppaniaan sänkyyn mukavaan.
Pete siitä riemastuu,
oitis hänkin kiihottuu
kuteet nurkkaan lentää saa kun pikariisuuntuu!
Ottaa Pat myös mallia ja luopuu vaatteistaan
niitä tuskin pian tarvitaan!

Iso-Pat nyt kasvavan
tuntee himon painavan
Pikku-Peten kädellään hän ohjaa polvilleen
Pikku-Pete hymyilee,
mulkkua kun maistelee,
toista samanmoista ei oo saanut nähdäkseen.
Iso-Pat jo huokaisee,
lastin matkan laukaisee,
Pikku-Pete satsit ottaa vastaan hymyillen!
Nielaistessaan niitä Pete melkein tukehtuu,
pieni kas on myöskin miehen suu!

On Pikku-Pete ryytynyt,
mutta Pat ei tyytynyt,
ole vielä laisinkaan siis lisää tahtoo hän,
Pikku-Peten kontilleen
vie hän lemmentontilleen
takaapäin hän tahtoo naida aina enemmän.
Kuuluu läiske hurja vaan
Pete käykin pohtimaan:
""Naapuritkin varmaan herää näin kun nussitaan!""
Iso-Pat on hiljaa vaikka suunsa aukeaa,
toisen kerran kun jo laukeaa.

Pat on saanut tarpeekseen
kunnes Peten miehuuteen
sattuu hänen katseensa, nyt toimeen tarttuu hän
""Sepäs oisi ankeaa,
jos en tuota kankeaa
hoitaisi mä kuntoon lailla kunnon isännän!""
Siispä hoitaa seisokin
käsityönä tietenkin
Peten tuleminen sotkee seinätapetin!
Lepotauko jälkeen aktin kestää koko yön
niin vei voimat taakka lemmentyön!

Illan tullen Pete niin
palaa niihin maisemiin
josta ensi kerran Patin sai hän seurakseen
tahtoo naida uudestaan
kaksin, kolmin, kuudestaan
kunhan Patin mukaan saa hän leikkiin riettaaseen
Pat ei ole kulmillaan
tuumii Pete yksin vaan
""Mistä toisen samanlaisen ystävän mä saan?
Pikapanoa vain silloin lähdin hakemaan,
miksi rakastuinkin kokonaan?""

Kyyneleitä vuodattaa,
Petekö ei koskaan saa
kiinni sielunystäväänsä Iso-Patea?
Kadut kaikki kiertää hän
kunhan rakkaan ystävän
Iso-Patin tietäisi hän mistä hakea.
Kuuluu tuttu huuto vaan
Pete kääntyi kannoillaan
Leveästi hymyillen Pat hälle heiluttaa
""Tule tänne ystäväin, ja käy mun syleilyyn
kyllästynyt en sun hempeilyyn!""

Romanttinen loppu nyt
tarinaan on syntynyt
Iso-Pete, Pikku-Pat he maata kiertävät
Vaikka heitä vainotaan
tukevat he toisiaan
elannokseen postivaunut, junat ryöstävät!
Piiloluola illoin ain
lemmenpesänsä on vain
aarteista kun kumpainenkin arvokkaimman sai!
Rakkaudesta pitävät he huolta toisistaan
kestäköön sen liekki ainiaan!"
teinilaulu,"Pojat tenttiin emme me ehtineet
kera veljien uurastaneitten.
Meille eivät laakerit lehtineet
akateemisten seppeleitten.
Mutt' laulu on meidän ja laulupuu,
se kukkii kun laakerit lakastuu.

Me saavuimme kerran Helsinkiin
hyvin nuorina, voittoisina.
Pian palattais taas, niin päätettiin,
joka ainoa maisterina.
Muut tulivat silloin ja tekivät niin.
Me jäimme jäljelle Helsinkiin.

Toki meillekin riemu ja rikkaus työn
oli tuttua, koimme sen kyllä.
Mutt' valkeus yhden keväisen yön,
yks' syleilyllä,
tuhat kertaa suuremman riemun toi.
Luvut jäivät ja kirjoja nakersi koi.

Niin vuodet vierivät luotamme pois
kuin virtana viivähtämättään.
Moni meistä jo tahtonut mukaan ois,
mutt' nousta ja nostaa kättään,
ei jaksanut heikko ja herkkä mies,
joka elämän riemut jo tarkkaan ties.

Mutt' laulumme, teinilaulumme tää
oli meidän ja rakkaus neitten.
Ne taisivat täysin ymmärtää
teot teinien eksyneitten.
Ne shamppanjaks elon kalkin loi
ja laulumme, teinilaulumme soi.

Ja kun kerran, veljet, kaikki on nää
vain unohtunutta multaa,
ylioppilaslakkimme jälkeen jää,
hiven lyyrassa kiiltää kultaa.
Näin teinit, toverit eli ja joi,
ja elämän kirjaa nakersi koi."
neuvostoliiton_hymni,"Oi suuri ja mahtava Neuvostoliitto 
sun synnytti valtava Venäjänmaa
Sun luonut on kansojen yhteinen tahto,
sun mahtis on säilyvä aikojen taa.

Oi suuri, vapaa synnyinmaa,
sun kunniaasi kaiuttaa
kansojen ystävyys murtumaton.
Sun lippuasi seuraten 
neuvostoihminen 
voitosta voittohon astuva on.

Niin suuri on Lenin. Hän kirkasti tiemme,
kun aamuun me astuimme myrskyistä yön. 
Ja Stalinin johdolla taistoissa, työssä
me kasvoimme kuntohon sankarityön.

Oi suuri, vapaa synnyinmaa,
sun kunniaasi kaiuttaa
kansojen ystävyys murtumaton.
Sun lippuasi seuraten 
neuvostoihminen 
voitosta voittohon astuva on.
 
Me taistellen nostimme armeijan maasta,
kuin myrsky me käymme päin valloittajaa. 
Nyt iskemme puolesta lastemme lasten
ja eestä sun kunnias, neuvostomaa. 

Oi suuri, vapaa synnyinmaa,
sun kunniaasi kaiuttaa
kansojen ystävyys murtumaton.
Sun lippuasi seuraten 
neuvostoihminen 
voitosta voittohon astuva on."
drunken_sailor,":,: What shall we do with a drunken sailor :,:
What shall we do with a drunken sailor
early in the morning
:,: Hooray and up she rises :,:
Hooray and up she rises
early in the morning

:,: Shave his belly with a rusty razor :,:
Shave his belly with a rusty razor
early in the morning
:,: Hooray... :,:

:,: Put him in a long boat till he's sober :,:
Put him in a long boat till he's sober
early in the morning
:,: Hooray... :,:

:,: Keep him there and make him bale her :,:
Keep him there and make him bale her
early in the morning
:,: Hooray... :,:

:,: Stick him in a barrel with a hosepipe on him :,:
Stick him in a barrel with a hosepipe on him
early in the morning
:,: Hooray... :,:

:,: Put him in the bed with a captain's daughter :,:
Put him in the bed with a captain's daughter
early in the morning
:,: Hooray... :,:"
ryyppy_saapuu,"Ryyppy saapuu, ryyppy saapuu vilpoinen.
Lasit kiiltää, äänet kiitää kilvaten.
Terve joka muisto, terve kaikille.
Huolet ovat haihtuneet, siis maljanne!"
pumppulaulu,"Meidän laivassa, meidän laivassa
on suuri reikä pohjassa
ja se uppoaa, ja se uppoaa
siis kaikki pumppaamaan.
YKKÖSPUMPPU...
KAKKOSPUMPPU...
jne..."
brännvin_vatten,"Smakar skit som katten.
Brännvin helt rått,
:,: smakar jävligt gott :,:

Viinaa, vettä,
mitä perkelettä.
Viinaa raakaa
:,: napaan kaatakaa :,:"
punschen_kommer,"Punschen kommer, punschen kommer, 
ljuv och sval.
Glasen imma, röster stimma i vår sal.
Skål för glada minnen! Skål för varje vår!
inga sorger finnas mer, när punsch vi får.

Punssi saapuu, punssi saapuu, vilpoinen
punssi saapuu, punssi saapuu, kultainen
Malja kevään uuden, malja muistojen
Punssin taika uudelleen luo nuoruuden"
kaks_kisälliä,"Kaks' kisälliä kulki
maantietä laulellen.
He laulussaan toi julki
ylevän aattehen:
Jos kaikki Suomen järvet,
viinaksi muuttuisi,
niin eikös meidän poikain,
elellä kelpaisi!
Kyllä vaan!

:,: Kaljaa, kaljaa, kaljallallallallaa! :,:


Rannalle viinajärven
majamme laadittais,
sen sulolainehilla
öin päivin soudeltais.
Ja me ryypättäis vain viinaa,
viinassa uitaisiin,
ah, eikös tätä voisi
verrata Eedeniin.
Kyllä vaan!

Kaljaa...

Jos viimein parannusta
ei saatais krapulaan,
niin helmaan Viinajärven
loikattais kuolemaan.
Ja me ryypättäis vain viinaa...
Kyllä vaan!

Kaljaa..."
livet_är_härligt,"Livet är härligt,
tavaritj, vårt liv är härligt.
Vi alla våra små bekymmer glömmer,
när vi har fått en tår på tanden, 
SKÅL!

Ta dig en vodka,
tavaritj, en liten vodka.
Glasen i botten vi tillsammans tömmer;
det kommer mera efter handen, 
SKÅL!"
mielihaluja,"Silja-line hymni
Tahtoisin ginitonicin, ginitonicin,
tai sitten minttufernetin, minttufernetin.
Kelpaa se kossuvissykin, kossuvissykin.
Nyt ryypätään, nyt ryypätään.

Tahtoisin rloginin, rloginin,
tai sitten .cshrc:n, .cshrc:n.
Kelpaa se vihree bittikin, vihree bittikin.
Nyt häckätään, nyt häckätään.

Ottaisin matemaatikon, matemaatikon,
tai sitten söpön kemistin, söpön kemistin.
Kelpaa se geologikin, geologikin,
nyt sekstaillaan, nyt sekstaillaan.

On mulla naama valkoinen, naama valkoinen
ja maistuis' olut huurteinen, olut huurteinen.
Juon sitä kolpakollisen, kolpakollisen
ja oksennan - yli laidan.

Jos saisin, niin mitä tekisin, mitä tekisin?
Kyll' varmaan jotain keksisin, jotain keksisin,
tai sitten kotiin juoksisin, kotiin juoksisin.
Nyt jänistää, nyt jänistää.

Kyll' pojat eilen häpesin, eilen häpesin,
kun yhden tytön tapasin, tytön tapasin,
ja sitten homman mokasin, homman
mokasin. Nyt hävettää, nyt hävettää.

Mut sitten Börjen tapasin, Börjen tapasin!"
nämä_lääkkeet,"Syvä kurkkumme on, jano sammumaton,
juomme saavista Karjalan A:ta.
Sillä kossu ja kessu ne lääkkeemme on,
eikä vatsamme täyttyä saata.
Nämä lääkkeet ne maksalle lohdun soi,
mi voihkivi tuskissansa.
:,: Sitä ennen ei putkemme katketa voi,
kun kaikki on turvallansa. :,:"
pikkukakkosen_posti,"Pikku kakkosen posti
postilokero 347
33101 Tampere 10
Pikku kakkosen posti

Pikku kakkosen URLi
h-t-t-p kaksoispiste kautta-kautta
w-w-w piste yle piste fi
kautta tilde ransu

Pikku kakkosen Ransu
Yleisradion kovin jätkä ikinä
Kolkytä vuotta nyrkki perseessä
Pikku kakkosen Ransu

Sinivilkkuinen taksi
Etupenkillä kaksi v***n homoa
takapenkin susikoira
ei voi ymmärtää

Ammattikorkeakoulu
Postilokero, mitä sen on väliä
joku vitun tradenomitutkinto kuitenkin
Ammattisurkeakoulu"
juomalaulu,"No onkos tullut kesä,
nyt talven keskelle
:,: ja laitetaankos pesä
nyt pikkulinnuille? :,:

Jo kuusi kynttilöitä
on käynyt kukkimaan,
:,: pimeitä talven öitä
nyt ehkä valaistaan. :,:

Ja vanhakin nyt nuortuu,
kuin lapsi leikkimään,
:,: ja koukkuselkä suortuu,
nyt kaikk' on mielissään. :,:

Ja hyvä lämmin hellä,
nyt mieli jokaisen,
:,: nyt jospa ihmisellä,
ois juhla ainainen! :,:"
intian_kuu,"Intiassa kuukin on kuumempi
oo-hiio-hei!
Kuin aurinko meillä vaan suurempi
oo-hiio-hei!
Ja kerran se lakkini sytytti
oo-hiio-hei!
Olin kännissä silloin tietysti
oo-hiio-hei!

:,: Hei juttele sinä vaan,
kyllä sinut tunnetaan
ja vaikka sen valheeksi vannotkin
niin kyllä sua uskotaan :,:

Linnut siellä paistuivat lennossa
Ja voi siellä myytiin pullossa
Ja jok'ikinen kala joka ongittiin
Oli keitettynä kun se nostettiin

Hei juttele sinä vaan...

Intiassa ankkuri nostettiin
Ja Punaiseen Mereen se laskettiin
Ja sen minä voin vaikka vannoa,
Että seilasimme puolukkahillossa

Hei juttele sinä vaan...

Näin minä Niilin rannikot
Näin krokotiilit ja faaraot
Siellä muumiot eli niinkuin ennenkin
Ja lähettivät terveiset teillekin

Hei juttele sinä vaan...

Pyramiidin huipull' oli majakka
Ja majakass' oli kapakka
Ja siellä me kävimme ryypyllä
Ja muumioitten kanssa hypyllä

Hei juttele sinä vaan...

Siellä näin minä neekerityttösen
Niin sievän, hennon ja herttaisen
Vaan yks murjaani juoksi mun perääni
Ja halkaisi kirveellä kalloni

Hei juttele sinä vaan...

Kun me purjehdimme Kreetalle
Niin Välimeri haiskahti sillille
Siellä seireenit lauloivat kuorossa
Oli uintiretki siis vuorossa

Hei juttele sinä vaan...

Siellä tutustuin seireenityttöseen
Niin sievään, hentoon ja herttaiseen
Vaan kun suutelin sitä pyrstölleen
Se haukkas mun perseeni lounaakseen

Hei juttele sinä vaan...

Kreikan nienten takana
Väijyi alkoholisti pakana
Se entrasi meidän kylkehen
Juotti pontikkaa perämiehellen

Hei juttele sinä vaan...

Perämiehemme pontikkakänninen
Vei meidät Maltan saarellen
Vaan kun saari oli pieni niin
Me purjehdimme sen upoksiin

Hei juttele sinä vaan...

Ja laivalla karttapallona
Oli suuren suuri peruna
Vaan kun muona alkoi loppua
Meidän täytyi syödä Afrikka

Hei juttele sinä vaan..."
olutkaanon,"Lapin Kulta, Lapin Kulta
Karjala, Karjala
Sininen ja Karhu, Sininen ja Karhu
Koff Koff Koff, Koff Koff Koff."
eino_leinon_juomalaulu,"Monta päivää juotuaan
pessimisti tuskissaan,
tuumi: Nyt on, jumaliste,
saavutettu päätepiste!
Nuoranpätkä kourassaan
nurkkaan hiipi kuolemaan.
Mutta toiset, nähtyään
yhden poissa pöydästään,
sydämissään suuri hätä
alkoi etsiskellä tätä.
Löytyi veikko nuorastaan,
vainajana suorastaan.

Mutta:
Saatuansa spriitä,
virkistyi hän siitä.
Kohottaen lasiaan,
virkkoi: ""Veljet - asiaan!"""
puheenjohtajan_juomalaulu,Nyt!
jarjestoasiantuntijan_runtulaulu,"Minä soitan harmonikkaa
Fuksit oksentaa rappuun,
kaljatölkkejä tippuu
parvekkeelta alas asfalttiin.
Sitten järjestysmieskin tappelee Uuden eessä,
kertoo vartijaraporttini niin.

Minä annan käyttökiellon,
järjestöt on kauhuissaan.
:,: Voisin viettää runtupäivää
jälleen huomenna. :,:

Helikopterit lentää, Domman järjestötilas
AEE siitä suuren sätkyn saa.
Lavuaareja halkee vaikka vaan keskustellaan
kahdestaan Conduksen vessassa.

Minä annan käyttökiellon,
järjestöt on kauhuissaan.
:,: Voisin viettää runtupäivää
jälleen huomenna. :,:

Suomen tupakkalaki, ei kiinnosta lainkaan,
design-tuolit sen sijaan kiinnostaa.
Bileet leviää aulaan, sieltä videonauhaan,
AEE jälleen uuden sätkyn saa.

Minä annan käyttökiellon,
järjestöt on kauhuissaan.
:,: Voisin viettää runtupäivää
jälleen huomenna. :,:"
eurovision_juomalaulu,"Ranskassa juodaan viiniä
Saksassa olutta ja Venäjällä vodkaa.
Suomessa juodaan kaikkea,
siis malja sille nostakaa!

Norjassa poltetaan kirkkoja,
Hollannissa pilveä ja Venäjällä vodkaa.
Suomessa poltetaan kaikkea,
siis malja sille nostakaa!

Grillissä palaa hiili,
juostessa rasva, Javan kanssa pinna.
Maksassa palaa viina,
siis malja sitä nostakaa!"
internationaali,"Hei, neiti pullot eteem' tuokaa
oi kuulu raisu laulumme.
Hei, veikot kaikki pois te juokaa
tää on viimeinen kännimme.
Pohja vanha sivistyksen horjuu
ei se meitä liikuta.
Alas lyökää koko vanha maailma
on kaikki samantekevää.

Tää on viimeinen känni
seurahamme yhtykää,
niin murheet kaikki poistuu
sun kanssas' hautahan.

Ei muuta johtajaa ei luojaa
kuin viina aina maistuva.
Se meidän onnen takaa, turvaa,
siks' on meidän juotava.
Eestä viinin, laulun naistenkin
tässä juomme, nautimme.
Lasit ylös, kurjat nostakaatte
me tähän uhraam' henkemme.

Tää on viimeinen ...

En koskaan tehnyt itse työtä
vaan aina siivel' elelin.
Varat eukon hankkimat on menneet
kaikki raflan laskuihin.
Pois murheet kaikki vanhat juomme,
meille ruumisarkku tuotakoon.

Tää on viimeinen ..."
internationalen,"Mera brännvin i glasen,
mera glas på vårt bord,
mera bord på kalasen,
mera kalas på vår jord.
Mera jordar kring månen,
mera månar kring Mars,
mera marscher till Skåne,
mera Skåne, bevars!

Lisää viinaa mun lasiin,
lisää laseja pöydälle.
Lisää pöytiä näihin juhliin,
lisää juhlia kansalle.
Lisää kansaa Suomeen,
lisää Suomea päälle maan.
Lisää maata Suomeen,
marssitaan, marssitaan, Karjalaan,
KARJALAAN!"
koodaillaan,"70T ja 55,
on dösä mennyt viimeinen,
mut siitä viis.
RV:seen miinusta teen
ja navettaan koodaamaan meen.

Tää yö nyt ollaan vaan ja koodaillaan,
ei mennä nukkumaan.
Aamulla luennolla irkataan
ja tentit feilataan.

Se viimeinen ware mun quotan vei.
Dogolla on tilaa, mulla ei.
Melkki taas lagaa,
irkistä mut pudottaa.

Nolla kaks, ja kello käy -
diskissan kanssa kahden vain
ei muita näy.
Tunnin, kaks, oon säätänyt,
tää koodi vaan ei oo kääntynyt.

Tää yö nyt ollaan vaan ja koodaillaan,
ei mennä nukkumaan.
Gurulassa kääntäjälle kiroillaan,
kun koodi kusee taas.

Se viimeinen bugi mun hermot vei,
Dogolla on kivaa, mulla ei.
Noppia kai voisi
helpomminkin saavuttaa.

On laskarit ja aamu uus,
en valmis ole vieläkään,
ja RV huus.
Skippaan taas ja vierailen,
nyt Gurulassa hengailen.

Tää päivä ollaan vaan ja koodaillaan,
ei mennä nukkumaan.
Ei musta maisteria tulekaan -
mä muutan Gurulaan."
leukojen_välliin,"Viina on elämän riemuja varten,
viina on lahjana jumalatarten
Leukojen välliin, leukojen välliin, 
leukojen välliin viinaa juu!

Leukojen välliin ryyppi
nyt joka ainut tyyppi!
Leukojen välliin...

Ryypillä tehdään kuninkaita,
herroja suuria ruhtinaita
Leukojen välliin...

Ryyppi se painuu sisuksihin syvvää,
päässä ja sydämessä tekkee se hyvvää
Leukojen välliin...

Ryyppi se menee miehiin ja frouviin,
kaikki sen saa, jotka tulleet on krouviin
Leukojen välliin...

Ryyppi kun mennyt on kurkusta sissään,
siellä se istuu ja pyytää lissää
Leukojen välliin...

Käskekääs tänne se kyyppi
leukojen välliin ryyppi,
Leukojen välliin..."
karhuviinaa,"Ottaisin minä Karhuviinaa,
jos vain pullon saisin.
:;: Pieneen kurkkuun kaataisin
ja sitten oksentaisin. :;:

Tiu tau, tiu tau tili tali tittan,
juodaan rommia kolalla.
:;: Sitten kun ollaan koko pullo juotu,
niin ollaan perseet olalla. :;:

Vaan ei se taitais meidän äiti
Karhuviinaa ottaa.
:;: Eihän se edes usko, että
Karhuviina on totta. :;:

Tiu tau, tiu tau...

Syksyn tullen sieniä kasvaa
varpaanväleissämme.
Eikä me sukkia vaihdeta kuin
korkeintaan keskenämme.
Eikä me sukkia vaihdeta,
- ei ainakaan keskenämme!

Tiu tau, tiu tau..."
helan_gor,"(Soolo:)
En liten fågel satt en gång
och sjöng i furuskog,
han hade sjungit dagen lång
men dock ej sjungit nog.
Vad sjöng den lilla fågeln då?

(Kaikki:)
Helan går,
sjung hoppfaderallan lallan lej
Helan går, sjung hoppfaderallan lej
Och den som inte helan tar,
han ej heller halvan får.
Helan går...
- sjung hoppfaderallan lej!"
sähkö_atk_laulu,"Javascripti, javascripti, RoR, RoR,
React sekä Angular, React sekä Angular,
NoSQL, NoSQL.

HTML5, HTML5, JSON, JSON,
WebGL sekä Bootstrap, WebGL sekä Bootstrap,
SCSS, SCSS."
bohemian_rhapsody,"Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality
Open your eyes
Look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go
A little high, little low
Anyway the wind blows, doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooo
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on, but nothing really matters

Too late, my time has come
Sends shivers down my spine
Body's aching all the time
Goodbye everybody I've got to go
Gotta leave you all behind and face the truth
Mama, ooo (anyway the wind blows)
I don't want to die
I sometimes wish I'd never been born at all

I see a little silhouetto of a man
Scaramouch, scaramouch will you do the fandango
Thunderbolt and lightning very very frightening me
Gallileo, Gallileo, 
Gallileo, Gallileo, 
Gallileo Figaro - magnifico

But I'm just a poor boy and nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosity
Easy come easy go will you let me go
Bismillah! No we will not let you go - let him go
Bismillah! We will not let you go - let him go
Bismillah! We will not let you go let me go
Will not let you go let me go (never)
Never let you go let me go
Never let me go ooo
No, no, no, no, no, no, no
Oh mama mia, mama mia, mama mia let me go
Beelzebub has a devil put aside for me
For me
For me

So you think you can stone me and spit in my eye
So you think you can love me and leave me to die
Oh baby can't do this to me baby
Just gotta get out just gotta get right outta here

Ooh yeah, ooh yeah
Nothing really matters
Anyone can see
Nothing really matters nothing really matters to me"
unkarin_viini,"Voi hyvät ystävät meillä jos ois'
Unkarin viiniä saavi.
Eikö kun kaks' sitä kantais ja jois,
paksusti voitais kuin paavi.
Silloinpa, veikkoset, huolta ei lain,
saavissa kieli kun maattaisiin vain.
Voi hyvät ystävät meillä jos ois',
Unkarin viiniä saavi.

Painakoon lyijynä saavimme tuo
olla ei vaivojen vanki.
Nostava hän, joka laulaa ja juo,
taakan on raskahimmankin!
Veljeni, nyt syliin sieppaan mä sun,
tanssimme ympäri vannehditun...
Voi, hyvät ystävät, vuotais nyt vuo,
oltais ei vaivojen vanki!

Ulkona paiste tai ukkonen ei
vaikuta tahtiimme huimaan.
Ei, vaikka enkelit - hupsis ja hei! -
loikkaisi saaviimme uimaan.
Lähdön he sais' pian pilviä päin,
huutaa ja huitoa jaksamme näin..
Muuta nyt, ystävät, toivota ei:
päästäispä saavihin uimaan."
lasi_täyttyy_oluesta,"Lasi täytyy oluesta, elämä on dokaamista
ota lasi käteen, juodaan kaljaa.
Pyydä minut aamuteelle,
oksennetaan parvekkeelle.
Nyt on lokakuu, ja minä vasta treenaan.
En kossua dokaa, en vinkkua dokaa,
kun dokaan, niin dokaan kaljaa vaan,
ja kännissä oon, ennen kuin huomaatkaan.
Ennen dokasin paljon, tänään dokaan kai
vielä enemmän.
Tarjoilija, tuoppi vielä tuokaa."
klusterilainen,"Teekkarit on perseestä,
perseestä, perseestä.
Teekkarit on perseestä, perseestä.

Kylterit on syvältä,
syvältä, syvältä.
Kylterit on syvältä, syvältä.

Humanistit on työttömiä,
työttömiä, työttömiä.
Humanistit on työttömiä, työttömiä.

Klusteri on kiva paikka,
kiva paikka, kiva paikka.
Klusteri on kiva paikka, kiva paikka."
syphilis,"It just started with a simple kiss
Now it even hurts to take a piss
Oh how did I get syphilis.

Leprosy
I'm not half the man I used to be
Now my fingertips are leaving me
Oh I believe I've leprosy.

Why her box was sick
I don't know, she would not say
Now my dripping dick won't get hard like yesterday.. ay.. ay.. ay

Yesterday
My cock was always coming out to play Now it needs two weeks to hide away Oh I believe in yesterday,
I believe in yesterday."
onomatopoeettinen_alkoholiliike,":,: Kana sanoo kot kot kot kot kot kot :,:
:,: Kuinka kana sanoo? :,:
Kuinka kana sanoo Cabana?
Kana sanoo kot kot kot kot kot kot.

:,: Karhu sanoo mur mur mur mur mur mur :,:
:,: Kuinka karhu sanoo? :,:
Kuinka karhu sanoo Karhu?
Karhu sanoo mur mur mur mur mur mur

:,: Gorilla sanoo ärrhg ghräghgrr :,:
:,: Kuinka gorilla sanoo? :,:
Kuinka gorilla sanoo Carillo?
Gorilla sanoo ärrhg bundolo.

Ketulla on krapula, niin myös madolla;
kaikki ne voit tavata Alkon jonossa!

:,: Kirahvi sanoo öri öri öri öri öri öri :,:
:,: Kuinka kirahvi sanoo? :,:
Kuinka kirahvi sanoo Kahvi - likööri?
Kirahvi sanoo öri öri öri öri öri öri

Siili käyttää aineita, niin myös etana;
heitä et voi tavata Alkon jonossa!

:,: Kiiski sanoo ... ... :,:
:,: Kuinka kiiski sanoo? :,:
Kuinka kiiski sanoo Whisky?
Kiiski sanoo ... ...

:,: Siittiö sanoo ptlqm ptlqm :,:
:,: Kuinka siittiö sanoo? :,:
Kuinka siittiö sanoo I love you?
Siittiö sanoo ptlqm ptlqm."
hauki_ja_viina,"Katonrajass' kulkee hauki,
pahaa taitaa tarkoittaa!
:,: Kierrä pullon korkki auki,
ryyppy pedon karkoittaa. :,:

Pöydän alta ryömii lisko,
ilkein silmin tuijottaa.
:,: Ryyppy toinen naamaas kisko,
aistiharha lähdön saa. :,:

Vierustuolill' istuu hylje,
pyrstö läpsii palleaas'.
:,: Kunhan vain et lasiin sylje,
mursu daamiks' muuttuu taas. :,:

Pöydän päällä ammuu nauta,
maitoo koittaa tyrkyttää.
:,: Ryyppy neljäs, jumalauta,
maitohapot myrkyttää. :,:

Uppå väggen går en gädda
med långa ludna svarta ben,
:,: men ni ska inte vara rädda,
tag en sup och allt går väl. :,:

Vita möss som går i taket
råna hest och falla ner,
:,: men ni ska inte vara rädda,
tag en sup och allt gör väl. :,:"
aku_ankka,":,: Aku Ankkako lapsemme turmelee?
Oh yeah, oh yeah :,:
Aku Iineksen kanssa seurustelee,
mutta naimisiin eivät he koskaan mee,
oh yeah, oh yeah, oh yeah.

:,: Aku Ankkahan housuja käytä ei,
Oh yeah, oh yeah :,:
Sitä lapsemme onneksi ei vielä tee,
vaan vaatteet päällä he kävelee,
oh yeah, oh yeah, oh yeah.

:,: Kuka TupuHupuLupun aikaan sai,
Oh yeah, oh yeah :,:
(Kertosäe lauletaan Sleepy Sleepers - Kuka,Mitä,Häh melodialla)
Olitko se sinä?
Vai olinko se minä?
A, mitä hä?

:,: Aku Ankka on ikuinen poikamies,
Oh yeah, oh yeah :,:
Kerran pari hän Iineksen ulos vei,
mutta sänkyyn saakka koskaan ei,
oh yeah, oh yeah, oh yeah.

:,: Pelle Peloton keksijä kelpo on,
Oh yeah, oh yeah :,:
Silti leluja hän vielä kokoilee,
vaikka pontikkaa pystyis' keitteleen,
oh yeah, oh yeah, oh yeah.

:,: Roope Ankka se naisissa hyppää ei,
Oh yeah, oh yeah :,:
Vaikka rahoillaan pystyis ostamaan
ihan millaisen missin haluais vaan,
oh yeah, oh yeah, oh yeah.

:,: Mitä tekevät ystävät Mikki ja Hessu?
Oh yeah, oh yeah :,:
Mikki menee Minnin kanssa motelliin,
Hessu etsii kundii poikkeevii,
oh yeah, oh yeah, oh yeah.

:,: Nyt kerromme, miksi teimme laulun tään,
Oh yeah, oh yeah :,:
Sanat valhetta on, mutta sitä en kadu:
""Hyvät vanhemmat!
Ostakaa nyt lapsillenne uusi Aku.""
oh yeah, oh yeah, oh yeah."
yogi_bear,"I know someone you don't know, Yogi, Yogi.
I know someone you don't know, Yogi, Yogi bear.
Yogi, Yogi bear, Yogi, Yogi bear.
I know somone you don't know, Yogi, Yogi bear.

Yogi likes it from behind, frombe, frombe...
Yogi has a girlfriend, Cindy, Cindy...
Cindy likes it up the ass, up the, up the...
Cindy has a girlfriend too, Betsy, Betsy...
Betsy likes it in a group, Gang-bang, Gang-bang...
Betsy does it upside down, koala, koala...
Cindy got what she deserved, pregnant, pregnant...
Yogi had an accident, Daddy, Daddy...
Yogi has an enemy, ranger, ranger... Smith.
Ranger Smith fucks animals, ani ani...
Yogi he has HIV, dying, dying..."
vitutuslaulu,"Voi saatana, voi perkele,
voi jumalauta, vittu.

Voi saatana, voi perkele,
voi jumalauta, vittu.

Voi saatana, voi perkele,
voi jumalauta, vittu.

Voi saatana, voi perkele,
voi jumalauta, vittu."
raittiuslaulu,"Pois ottakaa tää moska,
se pahasta on, koska
voi siitä juopua."
